Rank	Gene	HalfLife1	HalfLife2	HalfLife3	AverageHalfLife
181	YKR039W	53.5538610367	758.747771901	36.4405926708	282.914075203
182	YDR150W	701.100085224	91.1563825452	41.001844047	277.752770605
183	YMR107W	25.9889076523	407.872317926	395.083051987	276.314759188
184	YOR374W	276.033249471			276.033249471
185	YLR216C	71.8121146925		478.722214627	275.26716466
186	Q0055	52.4580709129	735.724949012	37.3204038196	275.167807915
187	YMR103C	124.444884339	323.939905858	375.319244115	274.568011437
188	YOL052C-A	35.1626282521		513.931473198	274.547050725
189	YMR278W	78.0494463326	664.292290578	79.4425820897	273.928106333
190	YBL098W	449.560922836		97.8237974554	273.692360146
191	YCR063W	27.6350725435	754.406587445	29.5824360475	270.541365346
192	YBR213W		465.12695721	74.4249575667	269.775957388
193	YLR157C	380.47995748		158.622720879	269.551339179
194	YBR169C	268.606638732			268.606638732
195	YGR250C	247.798992726	255.721236894	299.315337857	267.611855826
196	YOR387C	141.398280669	608.459534224	50.7120520339	266.856622309
197	YCL074W	80.4326770614	711.061090552	6.50349108258	265.999086232
198	YLR168C	63.753140748	690.374692347	40.3517057676	264.826512954
199	YDR095C	19.7711590206	732.444527292	36.8843191704	263.033335161
200	YDL039C	404.151106614	200.769300999	171.271737147	258.73071492
201	YER106W	172.783921316		344.604418348	258.694169832
202	YKL061W	40.1575917627	647.137688174	87.647266852	258.314182263
203	YBL101W-B	49.9476949499	665.710155097	52.9418060405	256.199885362
204	YOR140W	59.7955474217	671.264918987	35.9777282718	255.679398227
205	YAL038W	59.0933718349	451.891157525		255.49226468
206	YML041C	255.80231844	482.576271143	27.6299933906	255.336194324
207	YLR035C	141.075564919	586.266905866	30.2764890809	252.539653289
208	YBR051W			251.084826738	251.084826738
209	YBL075C	250.834925296			250.834925296
210	YOL153C	111.21979162	565.606939107	72.5267143528	249.784481693
211	YIL117C		34.7073470791	460.897119614	247.802233347
212	YKL050C	130.494803602	573.057621045	34.3209441468	245.957789598
213	YPL106C	69.4398420344	601.240008341	65.3845447085	245.354798361
214	YDL024C	44.9312454303	427.848863206	262.878830153	245.219646263
215	YNR047W	703.743687479	20.0190612506	11.5650725242	245.109273751
216	YLR058C	55.8956825699	626.13422665	45.5359711922	242.521960137
217	YER066C-A	104.233739519	474.868074948	148.421945081	242.507919849
218	YLR072W	62.0414964652	614.319395718	47.5271653804	241.296019188
219	YDR088C			239.901289173	239.901289173
220	YKR002W	220.341608857	455.273821171	43.5547607692	239.723396932
221	YOR376W	128.187164185	217.1606857	371.004889511	238.784246465
222	YIL139C			238.234917693	238.234917693
223	YMR252C	268.741874194	389.011813852	55.653639354	237.802442467
224	YDR257C	143.003632367	322.733260226	242.179038018	235.97197687
225	YGR043C	226.643913877	290.802084782	185.606432816	234.350810492
226	YDR074W	35.3561204561	190.069181673	476.918353461	234.114551863
227	YPL245W	498.183647222	143.110579397	51.6194101637	230.971212261
228	YDL129W	68.5926548346	583.645874394	40.010882773	230.749804
229	YNL274C	124.759645653	393.121039266	171.473432465	229.784705795
230	YHL021C	31.7793598641		424.239942512	228.009651188
231	YER053C	50.7988759603	227.343228943	405.472174688	227.87142653
232	YMR206W	126.81759838	375.706740083	171.146627328	224.556988597
233	YHR102W	49.2853766599	189.477279852	432.523709926	223.762122146
234	YDL087C	309.359279958	184.132879823	177.432833824	223.641664535
235	YER096W	57.1775187871	421.018276779	192.140683541	223.445493036
236	YPR077C	190.989756121		254.424657089	222.707206605
237	YAL062W	32.267667944	595.527137961	38.3353653624	222.043390422
238	YDL161W		213.194372608	227.558593039	220.376482823
239	YLR326W	55.4836369609	567.355344716	34.2733805307	219.037454069
240	YML047C	578.686606405	53.2167935571	24.6111419952	218.838180652
241	YDR118W		405.373056802	31.4489034831	218.410980142
242	YIL073C	21.7595491293	576.360711108	57.0135229521	218.37792773
243	YFR049W	21.2408726022	584.066974754	47.5016947978	217.603180718
244	YNL011C	59.2171554123	527.800050345	65.3348397636	217.45068184
245	YBR063C	98.8656222417	518.107360548	33.2078890684	216.726957286
246	YPL240C	334.36978678		97.3037166413	215.836751711
247	YKL048C	495.429655206	63.2893384875	87.1205063664	215.279833353
248	YPR154W	37.6714025362	301.554939488	305.007166313	214.744502779
249	YGL052W	365.237592122	50.2920269741	228.553647962	214.694422353
250	YIL080W	90.5922967849	527.22283681	21.6387017111	213.151278435
251	YNL173C	18.7591490902	394.994290357	222.137106157	211.963515201
252	YJR149W	281.026552623	42.4678534063	311.471778249	211.655394759
253	YDL057W	75.0287959796		347.953968524	211.491382252
254	YJL105W	526.840835974	50.0000203047	54.6051766271	210.482010969
255	YLR279W	310.341360467		109.124558947	209.732959707
256	YLR302C	194.391852744	380.345478443	47.8615827728	207.53297132
257	YCR066W	20.0236653273	580.774455616	21.7463533809	207.514824775
258	YBR076W	40.89743661	498.361716998	82.994010525	207.417721378
259	YAL015C	299.101076131	189.538647412	131.786916411	206.808879985
260	YDR451C	27.2159549737	570.804783784	19.4981740807	205.839637613
261	YOL083W	97.9712156734	458.368378923	60.4681856503	205.602593416
262	YHR139C	42.5481508209		367.293184002	204.920667411
263	YDL032W	22.8863236874		385.729152882	204.307738285
264	YAR061W	343.810978248	207.477975925	59.619974637	203.636309603
265	YGL007W	28.2697059511	554.180182661	27.1326167528	203.194168455
266	YIR009W	372.635185645		30.7132642608	201.674224953
267	YJL042W	25.6671286921	547.190998966	30.0675871754	200.975238278
268	YHR015W	44.4488293917	357.452968881		200.950899136
269	YML070W	57.9658562784	482.783942969	59.0521355198	199.933978256
270	YOR292C	26.4437419026	539.521305378	31.3013576392	199.08880164
271	YER187W	18.5009643849	552.290000637	22.4015703829	197.730845135
272	YNR064C	27.3410832132	473.026495737	91.2861643756	197.217914442
273	YOR304W	11.8832994951	565.156108206	14.5415860573	197.193664586
274	YGL215W	130.110176725	426.121061319	33.9273760486	196.719538031
275	YPR015C	25.3595028564		362.654165612	194.006834234
276	YGL037C	310.679866366		77.1419200558	193.910893211
277	YFR022W	488.484540878	75.0717492909	18.0327640813	193.863018083
278	YGL193C	100.353938702	430.13157964	49.0900182485	193.19184553
279	YHR175W	44.2557325779	500.921986947	31.8914002582	192.356373261
280	YMR169C	49.559178335	389.775453718	137.610022809	192.314884954
281	YBR182C	323.342571526		60.1531595424	191.747865534
282	YAR033W	160.944309702	394.750684936	17.3021106367	190.999035091
283	YPL186C	39.2831895815	500.551384846	31.4600105643	190.431528331
284	YMR253C	11.9664134755	8.23397526963	549.788852839	189.996413861
285	YJL022W	85.6960124119	426.031556191	57.4285045395	189.718691047
286	YKL064W	23.611030929	505.364958851	37.5313812854	188.835790355
287	YOL154W	48.289024096	471.174227901	46.6347129876	188.699321662
288	YJL170C	21.3393486535	461.325220278	83.0780775445	188.580882159
289	YNL198C	44.7145506839	493.264201366	23.8683117753	187.282354608
290	YHR118C	55.2111010938		319.000113072	187.105607083
291	YOL037C	29.0804407773	344.219119166		186.649779972
292	YIL121W	489.199320113	25.2584951259	44.79589014	186.417901793
293	YNL187W	367.315351431		5.4203864305	186.367868931
294	YER044C-A	465.693868945	15.6544401883	76.6394950791	185.995934737
295	YDR364C	187.422280074	366.015738437	3.07257880558	185.503532439
296	YNL157W	105.761691123	377.918851964	72.8190116835	185.49985159
297	YNL286W	36.0793356712	448.965616567	67.7021091976	184.249020479
298	YNL019C	467.840812634	62.3836530869	21.6519236197	183.958796447
299	YGL125W	195.655642906	226.594118457	127.654451521	183.301404295
300	YPL095C	37.0089126889	493.192531313	19.3744959505	183.191979984
301	YPL121C		180.091368615	185.060465234	182.575916925
302	YMR028W	26.140653297		338.871305794	182.505979546
303	YDR052C	182.485945372			182.485945372
304	YKL036C	80.7457981082	248.670586528	213.341683139	180.919355925
305	YAL037W	455.693635465	20.6223772655	66.2801782385	180.86539699
306	YOR068C	28.7898945117	490.516200903	22.0899234327	180.465339616
307	YNL159C	88.6505102922	377.628710757	72.2283085697	179.502509873
308	YGL156W	52.5957390435	317.573937652	167.389178117	179.186284937
309	YDL234C	28.3506685378	469.386119331	38.2487464432	178.661844771
310	YGR087C	142.273641769	242.752598557	149.426652213	178.15096418
311	YDR275W	24.5129917751	331.289850974		177.901421375
312	YPL123C		304.576505767	48.2121570325	176.3943314
313	YIL155C	88.0963698735	363.231547576	74.5821512677	175.303356239
314	YIL132C	53.0503644714		296.22860125	174.639482861
315	YLR259C	81.9593903106	393.752338005	47.3649980691	174.358908795
316	YOR120W	46.8920890193		301.630423839	174.261256429
317	YOR166C	438.954551311	4.77831970618	78.5283396428	174.08707022
318	YDL238C	25.4807881921	256.684065051	239.765490781	173.976781341
319	YHR138C	371.243971445	118.464019925	32.1916637442	173.966551705
320	YDR075W	36.9032579065	464.253272422	20.6803879908	173.94563944
321	YIR011C	67.1855591336	423.526380883	30.2277807006	173.646573572
322	YNL285W	382.261959607	75.4729103566	61.7525877319	173.162485899
323	YHR008C	91.178490483	334.096301382	93.6082311478	172.961007671
324	YJR119C	30.3376734112	425.799919201	62.5713285878	172.902973733
325	YNL191W	330.538346038	14.5304558416		172.53440094
326	YHR087W	53.5711447141		291.259760086	172.4154524
327	YML011C	471.059089568	16.7395891775	27.1309176803	171.643198809
328	YJR107W	24.6903339892	465.233039991	24.8346735646	171.586015848
329	YLR446W	133.942348699		205.766772913	169.854560806
330	YHR184W	66.8342596598	272.502810645		169.668535153
331	YDL176W	44.8043513752	422.942266498	39.9473205094	169.231312794
332	YBR037C	437.155515134	57.9556889199	12.3494812907	169.153561782
333	Q0085		306.140157588	32.1050112743	169.122584431
334	YHL045W	194.274538297	10.2440782868	302.821906246	169.11350761
335	YKL116C	28.4994507948	438.535300253	37.6898590065	168.241536685
336	YMR209C	59.2905811633	381.882435529	60.0697541667	167.08092362
337	YLR263W		275.549242804	57.8753641333	166.712303469
338	YJR050W	165.204972387	195.723074783	137.112549523	166.013532231
339	YML054C	56.1308563298	47.2387732918	393.823851815	165.731160479
340	YOR315W	32.9380541452	404.405176316	58.9853282272	165.442852896
341	YPL087W	31.2342609059	440.510177473	24.2800375862	165.341491988
342	YOR028C	49.1603812611	370.53460834	75.4803471841	165.058445595
343	YLR134W	55.2558862337	274.575622092		164.915754163
344	YPR184W	38.5234048958		291.182136929	164.852770913
345	YFL027C	23.2265118349	438.746059253	31.8969264306	164.623165839
346	YCR075C	302.449437158		25.292064082	163.87075062
347	YAL064W	225.224534252	101.819221087		163.52187767
348	YMR048W	31.6203432614	396.359074073	61.7096187449	163.229678693
349	YHR191C	92.15699046	373.8224959	21.0995432619	162.35967654
350	YPR007C	51.8755532269	6.87307309416	427.763615917	162.170747413
351	YLR126C	25.1712882093	440.57536377	19.8585575059	161.868403162
352	YNL242W	28.924113123	421.367689453	34.7973057656	161.696369447
353	YLR270W	50.5902132581	293.879637478	139.747682079	161.405844271
354	YDR317W	295.504303094		26.2356032612	160.869953178
355	YOR228C	374.869792737	18.3106553435	89.2041466093	160.794864897
356	YKR091W	195.907284091	90.7518850879	195.59899418	160.75272112
357	YOR025W	63.8704882478	397.26134	19.3400886033	160.157305617
358	YMR061W	160.128577952			160.128577952
359	YBR152W	90.3917751642	364.800024716	21.3220423775	158.837947419
360	YFL016C	23.9415662218	399.81419737	52.3232536191	158.693005737
361	YBR011C	39.8109915192	383.818810135	51.8473458251	158.492382493
362	YDL223C	351.201680195	39.6802298978	83.5921224689	158.158010854
363	YBR047W	42.6851104979		272.181794787	157.433452642
364	YMR294W	144.099014165	170.324306599		157.211660382
365	YDR259C		229.456313659	83.8459874933	156.651150576
366	YOL101C	189.017965749	21.1980656969	259.245011048	156.487014165
367	YKR076W	58.5589008916	350.891112798	58.3266016383	155.925538443
368	YMR092C	208.013650904	169.332804367	89.2405256894	155.528993654
369	YDR123C	229.674351285	80.5244957824		155.099423534
370	YHR061C	87.9851347401	341.264264128	36.0248039706	155.091400946
371	YBR066C	119.575171098	190.25783043		154.916500764
372	YBL055C	42.8614398305	375.412849329	46.0297860492	154.768025069
373	YMR280C	45.4556650018	375.850843693	39.8948396771	153.733782791
374	YDL132W	37.1539604308	386.020981272	37.8999487153	153.691630139
375	YLL059C	35.6203729346		271.666308573	153.643340754
376	YMR258C	41.0451921653	328.917256869	89.4111515172	153.124533517
377	YLR423C	388.78094003	18.8790734399	48.5832600838	152.081091185
378	YIL087C	47.5107589216	367.460928477	40.877987766	151.949891722
379	YBR072W	151.211267409			151.211267409
380	YDR198C	327.873952199	74.8752423179	50.6963040965	151.148499538
381	YAL048C	40.3110070227	369.144077435	41.5688397923	150.341308083
382	YNL155W	45.2380841793	361.599096641	41.5308345435	149.456005121
383	YAL054C	31.9142296365	55.6767967996	360.596626365	149.395884267
384	YIL086C	49.486719808		248.662854097	149.074786953
385	YGR226C	212.725011098	17.8014299979	216.262478679	148.929639925
386	YER094C			148.78969658	148.78969658
387	YDL222C	24.7946225088	199.67587001	220.075481453	148.181991324
388	YHL019C	43.4174789105	21.9498609363	376.446344209	147.271228019
389	YDR374C	232.805539899		61.3502070665	147.077873483
390	YEL060C	70.9451543679	318.49524392	51.4013914492	146.947263246
391	YDL204W	33.8201566211		259.793164492	146.806660556
392	YOL020W		277.282271073	15.4415939212	146.361932497
393	YPL275W	53.7364408317	320.009380485	65.1433445246	146.296388614
394	YEL057C	144.791699025	233.798347272	59.0183910913	145.86947913
395	YKL037W	11.8083640242	372.704480319	50.9041633232	145.139002556
396	YPR096C	129.342646305	278.841329414	26.6446135883	144.942863102
397	YGR050C	166.9998778		122.685025351	144.842451575
398	YOR317W	110.896099557	149.132108277	173.000502292	144.342903375
399	YHR116W	37.266889878	364.885976173	30.4130862568	144.188650769
400	YDR128W	47.587236585	344.582818553	40.2929858245	144.154346988
401	YNL017C	131.783094724	179.906720731	120.60731802	144.099044492
402	YMR290W-A	21.2866486532	371.35121902	39.5137978504	144.050555175
403	YMR210W	64.974955113	157.632164317	208.038829439	143.548649623
404	YKL022C	61.8813246248	339.139139261	27.7531523508	142.924538746
405	YPL150W	61.5156446012	252.958396486	113.297785947	142.590609011
406	YOR379C	117.589872144	178.880489638	130.815007116	142.428456299
407	YEL006W	71.5295892807	310.701270694	44.467401253	142.232753742
408	YPR095C	44.6479608849	357.504154408	24.4791304563	142.21041525
409	YNL009W	44.1963155846	202.521761999	178.952437067	141.89017155
410	YDR384C	31.6199820396	357.158442883	36.0574429385	141.611955954
411	YNL118C	86.8412852615	289.543398387	48.2547518445	141.546478497
412	YHR180W	51.9721959179	212.424202396	159.359427467	141.251941927
413	YGL064C	18.4357416657	373.694619616	30.9753815119	141.035247598
414	YPR149W	45.9359836606	350.750179414	25.0592791533	140.581814076
415	YOR018W	140.608049152	195.823180519	82.2971408329	139.576123501
416	YPR098C	42.1640933362	341.620411599	33.6900458005	139.158183579
417	YPL025C	182.818603199	178.440417677	56.1835953626	139.147538746
418	YEL069C	65.5150385735	2.38132651484	348.675143261	138.85716945
419	YBR157C		227.89148998	49.8165825846	138.854036282
420	YBL108W	212.898698316	63.8232361263		138.360967221
421	YBL026W		250.545562045	26.1714436541	138.358502849
422	YDL221W	165.868186233	84.9715231344	160.90801552	137.249241629
423	YLR165C	57.4138445663	262.480085868	91.835532494	137.243154309
424	YBR167C	81.1718642672	113.735434858	216.14616269	137.017820605
425	YIR027C	2.95739743862	20.1353910614	387.943655869	137.012148123
426	YDL008W	233.153298877		40.0820972718	136.617698074
427	YER095W		217.831391844	55.2259049941	136.528648419
428	YGR052W	41.3653110214	342.353111071	25.7751563903	136.497859494
429	YMR152W	218.335479427		54.6423114911	136.488895459
430	YJR052W	206.296765225	66.4872700098		136.392017617
431	YKL136W	112.852425079	114.663387359	179.881889298	135.799233912
432	YMR082C	165.12982172		106.187356362	135.658589041
433	YOL116W	74.030723186	250.457806879	79.6193991065	134.702643057
434	YLR087C		134.035979125		134.035979125
435	YJL031C	247.776701223		20.2196844855	133.998192854
436	YNL116W	228.268046315	159.310140329	14.4146054874	133.997597377
437	YNL195C	133.866020645			133.866020645
438	YGR062C	43.210665696	215.801749061	142.366701377	133.793038711
