Source	Target	Path	Path Length
GNL3L	UBA1	['GNL3L', 'UBC', 'UBA1']	2
GNL3L	MECP2	['GNL3L', 'UBC', 'MECP2']	2
GNL3L	PHF6	['GNL3L', 'UBC', 'PHF6']	2
GNL3L	RBM10	['GNL3L', 'UBC', 'RBM10']	2
GNL3L	GSPT2	['GNL3L', 'UBC', 'GSPT2']	2
GNL3L	SLC25A5	['GNL3L', 'UBC', 'SLC25A5']	2
GNL3L	NKRF	['GNL3L', 'UBC', 'NKRF']	2
GNL3L	RPS4X	['GNL3L', 'UBC', 'RPS4X']	2
GNL3L	RBMX2	['GNL3L', 'UBC', 'SRSF1', 'Bud13', 'RBMX2']	4
GNL3L	HTATSF1	['GNL3L', 'UBC', 'HTATSF1']	2
GNL3L	LAS1L	['GNL3L', 'UBC', 'LAS1L']	2
GNL3L	MBNL3	['GNL3L', 'UBC', 'MBNL3']	2
GNL3L	HUWE1	['GNL3L', 'TP53', 'HUWE1']	2
GNL3L	RPL10	['GNL3L', 'UBC', 'RPL10']	2
GNL3L	RPL15	['GNL3L', 'UBC', 'RPL15']	2
GNL3L	RBMX	['GNL3L', 'UBC', 'RBMX']	2
GNL3L	NONO	['GNL3L', 'UBC', 'NONO']	2
GNL3L	RPGR	['GNL3L', 'UBC', 'SMC1A', 'RPGR']	3
GNL3L	UPF3B	['GNL3L', 'UBC', 'UPF3B']	2
GNL3L	RBM3	['GNL3L', 'UBC', 'RBM3']	2
GNL3L	HNRNPH2	['GNL3L', 'UBC', 'HNRNPH2']	2
GNL3L	UTP14A	['GNL3L', 'LDOC1', 'UTP14A']	2
GNL3L	MEX3C	['GNL3L', 'UBC', 'MEX3C']	2
FMR1	GNL3L	['FMR1', 'UBC', 'GNL3L']	2
FMR1	UBA1	['FMR1', 'UBC', 'UBA1']	2
FMR1	MECP2	['FMR1', 'UBC', 'MECP2']	2
FMR1	PHF6	['FMR1', 'UBC', 'PHF6']	2
FMR1	RBM10	['FMR1', 'UBC', 'RBM10']	2
FMR1	GSPT2	['FMR1', 'UBC', 'GSPT2']	2
FMR1	SLC25A5	['FMR1', 'UBC', 'SLC25A5']	2
FMR1	NKRF	['FMR1', 'SIRT7', 'NKRF']	2
FMR1	RPS4X	['FMR1', 'SIRT7', 'RPS4X']	2
FMR1	RBMX2	['FMR1', 'UBC', 'SRSF1', 'Bud13', 'RBMX2']	4
FMR1	HTATSF1	['FMR1', 'UBC', 'HTATSF1']	2
FMR1	LAS1L	['FMR1', 'SIRT7', 'LAS1L']	2
FMR1	MBNL3	['FMR1', 'UBC', 'MBNL3']	2
FMR1	HUWE1	['FMR1', 'SIRT7', 'HUWE1']	2
FMR1	RPL10	['FMR1', 'SIRT7', 'RPL10']	2
FMR1	RPL15	['FMR1', 'STAU1', 'RPL15']	2
FMR1	RBMX	['FMR1', 'SIRT7', 'RBMX']	2
FMR1	NONO	['FMR1', 'FXR2', 'NONO']	2
FMR1	RPGR	['FMR1', 'UBC', 'SMC1A', 'RPGR']	3
FMR1	UPF3B	['FMR1', 'UBC', 'UPF3B']	2
FMR1	RBM3	['FMR1', 'UBC', 'RBM3']	2
FMR1	HNRNPH2	['FMR1', 'UBC', 'HNRNPH2']	2
FMR1	UTP14A	['FMR1', 'SIRT7', 'UTP14A']	2
FMR1	MEX3C	['FMR1', 'UBC', 'MEX3C']	2
UBA1	UPF3B	['UBA1', 'UBC', 'UPF3B']	2
UBA1	UTP14A	['UBA1', 'SUMO2', 'UTP14A']	2
CSTF2	GNL3L	['CSTF2', 'UBC', 'GNL3L']	2
CSTF2	FMR1	['CSTF2', 'UBC', 'FMR1']	2
CSTF2	UBA1	['CSTF2', 'BRCA1', 'UBA1']	2
CSTF2	MECP2	['CSTF2', 'UBC', 'MECP2']	2
CSTF2	PHF6	['CSTF2', 'UBC', 'PHF6']	2
CSTF2	RBM10	['CSTF2', 'UBC', 'RBM10']	2
CSTF2	GSPT2	['CSTF2', 'UBC', 'GSPT2']	2
CSTF2	SLC25A5	['CSTF2', 'UBC', 'SLC25A5']	2
CSTF2	EIF1AX	['CSTF2', 'UBC', 'EIF1AX']	2
CSTF2	NKRF	['CSTF2', 'UBC', 'NKRF']	2
CSTF2	RPS4X	['CSTF2', 'UBC', 'RPS4X']	2
CSTF2	RBMX2	['CSTF2', 'UBC', 'SRSF1', 'Bud13', 'RBMX2']	4
CSTF2	HTATSF1	['CSTF2', 'FEZ1', 'HTATSF1']	2
CSTF2	LAS1L	['CSTF2', 'UBC', 'LAS1L']	2
CSTF2	MBNL3	['CSTF2', 'UBC', 'MBNL3']	2
